id_donatur,tanggal_donasi,kategori_donasi,nominal_donasi,metode_pembayaran,donasi_rutin,sumber_informasi,alasan_donasi,pernah_donasi
D0556,2026-05-27,Kesehatan,200000,QRIS,Ya,Website,Pendidikan,Tidak
D0557,2026-05-08,Kesehatan,500000,Transfer Bank,Ya,Instagram,Pendidikan,Tidak
D0558,2026-05-07,Bantuan Sosial,150000,DANA,Ya,TikTok,Pendidikan,Tidak
D0559,2026-04-10,Panti Asuhan,25000,Transfer Bank,Tidak,Website,Kepedulian Lingkungan,Tidak
D0560,2026-06-01,Lingkungan,250000,ShopeePay,Ya,Facebook,Keagamaan,Tidak
D0561,2026-05-30,Lingkungan,25000,ShopeePay,Ya,Website,Bencana,Tidak
D0562,2026-06-02,Pendidikan,100000,DANA,Tidak,Website,Bencana,Tidak
D0563,2026-05-29,Anak Yatim,150000,QRIS,Ya,Instagram,Pendidikan,Ya
D0564,2026-03-10,Bencana Alam,50000,GoPay,Ya,TikTok,Kepedulian Lingkungan,Tidak
D0565,2026-03-22,Bencana Alam,75000,Transfer Bank,Ya,TikTok,Pendidikan,Ya
D0566,2026-05-21,Rumah Ibadah,250000,OVO,Ya,Website,Kepedulian Lingkungan,Tidak
D0567,2026-05-31,Bencana Alam,150000,OVO,Tidak,Teman/Keluarga,Kepedulian Lingkungan,Tidak
D0568,2026-05-13,Bencana Alam,10000,ShopeePay,Tidak,Facebook,Bencana,Tidak
D0569,2026-04-01,Lingkungan,500000,DANA,Ya,Teman/Keluarga,Kepedulian Lingkungan,Ya
D0570,2026-04-10,Panti Asuhan,25000,ShopeePay,Ya,Facebook,Keagamaan,Ya
D0571,2026-04-21,Bencana Alam,150000,GoPay,Tidak,Facebook,Keagamaan,Tidak
D0572,2026-03-04,Lingkungan,200000,ShopeePay,Ya,Instagram,Keagamaan,Tidak
D0573,2026-05-19,Bencana Alam,500000,ShopeePay,Tidak,WhatsApp,Bencana,Tidak
D0574,2026-03-13,Lingkungan,250000,Transfer Bank,Ya,Website,Kemanusiaan,Ya
D0575,2026-04-26,Bantuan Sosial,20000,GoPay,Ya,Facebook,Kepedulian Lingkungan,Tidak
D0576,2026-04-15,Lingkungan,75000,Transfer Bank,Tidak,Website,Kepedulian Lingkungan,Ya
D0577,2026-03-18,Lingkungan,200000,Transfer Bank,Ya,Instagram,Kepedulian Lingkungan,Tidak
D0578,2026-04-21,Pendidikan,150000,GoPay,Tidak,Instagram,Bencana,Tidak
D0579,2026-05-08,Panti Asuhan,200000,QRIS,Tidak,Email,Keagamaan,Tidak
D0580,2026-05-08,Pendidikan,20000,Transfer Bank,Ya,Email,Kemanusiaan,Ya
D0581,2026-05-28,Rumah Ibadah,150000,QRIS,Ya,Website,Kepedulian Lingkungan,Tidak
D0582,2026-05-25,Pendidikan,25000,QRIS,Tidak,Email,Sosial,Ya
D0583,2026-03-15,Pendidikan,10000,Transfer Bank,Tidak,Website,Kemanusiaan,Ya
D0584,2026-04-06,Bantuan Sosial,150000,OVO,Tidak,WhatsApp,Sosial,Ya
D0585,2026-04-22,Pendidikan,250000,QRIS,Ya,Teman/Keluarga,Kepedulian Lingkungan,Ya
D0586,2026-06-01,Pendidikan,100000,DANA,Ya,TikTok,Kepedulian Lingkungan,Tidak
D0587,2026-05-20,Pendidikan,75000,OVO,Tidak,WhatsApp,Kepedulian Lingkungan,Ya
D0588,2026-05-03,Kesehatan,250000,Transfer Bank,Ya,Email,Pendidikan,Tidak
D0589,2026-05-24,Kesehatan,75000,ShopeePay,Tidak,Instagram,Bencana,Ya
D0590,2026-03-19,Bencana Alam,10000,DANA,Tidak,Website,Bencana,Ya
D0591,2026-04-12,Rumah Ibadah,100000,Transfer Bank,Tidak,Email,Bencana,Ya
D0592,2026-03-24,Kesehatan,50000,DANA,Tidak,Facebook,Kemanusiaan,Ya
D0593,2026-05-28,Bencana Alam,250000,OVO,Ya,TikTok,Kepedulian Lingkungan,Ya
D0594,2026-04-05,Pendidikan,50000,ShopeePay,Tidak,TikTok,Sosial,Ya
D0595,2026-05-28,Rumah Ibadah,20000,GoPay,Ya,Facebook,Sosial,Tidak
D0596,2026-04-30,Lingkungan,500000,ShopeePay,Tidak,Email,Bencana,Ya
D0597,2026-05-15,Lingkungan,100000,OVO,Ya,Instagram,Sosial,Ya
D0598,2026-04-01,Bantuan Sosial,75000,GoPay,Ya,Email,Kepedulian Lingkungan,Tidak
D0599,2026-05-04,Panti Asuhan,200000,GoPay,Tidak,WhatsApp,Bencana,Ya
D0600,2026-03-26,Pendidikan,75000,Transfer Bank,Ya,TikTok,Kepedulian Lingkungan,Ya
